class_year,tabs,northfield_food,googled
Senior,5,Hogan Brothers,can a nissan rogue use ethonal gas?
Junior,7,Hogan Bros!!!,"""What does GI stand for?"" (In a military sense)"
Junior,6,Tin Tea!,GitHub
Sophomore,6,Tinn's,tv at target
Senior,4,Not the dining halls,NA
Junior,12,Desi Diner,GitHub!
Junior,9,Tanzenwald,usa women's basketball
Junior,13,Burton or the Blast,Family Fare Rewards 😂 (my rewards thing was broken...)
Senior,6,Desi Diner is always the best but Hideaway is lowkey slept on.,Carleton Moodle
Senior,19,Desi Diner,github.com/dashboard
Senior,6,Home kitchen,"""is there really visual learner research"""
Junior,8,At the coop!,US open winner
Senior,10,Gran Plaza,hateno village botw
Senior,10,desi diner,Googling how to spell minneapolis :(
Senior,34,I wouldn't know,I went to google when the LDC cafeteria opened for dinner yesterday
Junior,10,"Toyko Grill, Culver's",Toyko
Sophomore,22,Desi Diner,Monty Python and the Holy Grail
Senior,48,Hogan Brothers,What is rstudio
Junior,9,Culver's,Github
Senior,17,El Triunfo,minnesota frost season
Senior,6,Gran Plaza,Carleton College stats courses
Junior,58,Gran Plaza,Stridor definition
Junior,20,Carbones,Howard Cross
Senior,12,Downtown,Carleton special Monday convo schedule
Sophomore,35,Desi Diner,carleton schedule
Junior,2,Tanzenwald,Are refried beans vegetarian?
