season,version,era,episode,castaway,confessional_count
1,US,Seasons 1-15,1,Sonja,2
1,US,Seasons 1-15,1,B.B.,3
1,US,Seasons 1-15,1,Stacey,1
1,US,Seasons 1-15,1,Ramona,2
1,US,Seasons 1-15,1,Dirk,1
1,US,Seasons 1-15,1,Joel,2
1,US,Seasons 1-15,1,Gretchen,1
1,US,Seasons 1-15,1,Greg,0
1,US,Seasons 1-15,1,Jenna,0
1,US,Seasons 1-15,1,Gervase,0
1,US,Seasons 1-15,1,Colleen,0
1,US,Seasons 1-15,1,Sean,1
1,US,Seasons 1-15,1,Sue,2
1,US,Seasons 1-15,1,Rudy,4
1,US,Seasons 1-15,1,Kelly,2
1,US,Seasons 1-15,1,Richard,4
1,AU,Seasons 1-15,1,Des,11
1,AU,Seasons 1-15,1,Bianca,2
1,AU,Seasons 1-15,1,Evan,4
1,AU,Seasons 1-15,1,Peter,0
1,AU,Seasons 1-15,1,Barry,0
1,AU,Seasons 1-15,1,Tegan,0
1,AU,Seasons 1-15,1,Rohan,6
1,AU,Seasons 1-15,1,Kat,10
1,AU,Seasons 1-15,1,Andrew,2
1,AU,Seasons 1-15,1,Craig,3
1,AU,Seasons 1-15,1,Phoebe,1
1,AU,Seasons 1-15,1,Conner,4
1,AU,Seasons 1-15,1,Kate,0
1,AU,Seasons 1-15,1,Nick,6
1,AU,Seasons 1-15,1,Kylie,3
1,AU,Seasons 1-15,1,Sue,1
1,AU,Seasons 1-15,1,Jennah-Louise,2
1,AU,Seasons 1-15,1,Brooke,0
1,AU,Seasons 1-15,1,Sam,4
1,AU,Seasons 1-15,1,Matt,2
1,AU,Seasons 1-15,1,Flick,4
1,AU,Seasons 1-15,1,El,3
1,AU,Seasons 1-15,1,Lee,4
1,AU,Seasons 1-15,1,Kristie,3
1,SA,Seasons 1-15,1,Don,3
1,SA,Seasons 1-15,1,Sam,6
1,SA,Seasons 1-15,1,Jude,3
1,SA,Seasons 1-15,1,Ncumisa,4
1,SA,Seasons 1-15,1,Sanele,5
1,SA,Seasons 1-15,1,Danielle,3
1,SA,Seasons 1-15,1,Nico,7
1,SA,Seasons 1-15,1,Brigitte,3
1,SA,Seasons 1-15,1,Mzi,7
1,SA,Seasons 1-15,1,Vanessa,5
1,SA,Seasons 1-15,1,Lezel,3
1,SA,Seasons 1-15,1,Gareth,7
1,SA,Seasons 1-15,1,Zayn,3
1,SA,Seasons 1-15,1,Jacinda,4
1,UK,Seasons 1-15,1,Nick,2
1,UK,Seasons 1-15,1,JJ,4
1,UK,Seasons 1-15,1,Uzma,0
1,UK,Seasons 1-15,1,Sarah,1
1,UK,Seasons 1-15,1,Jayne,2
1,UK,Seasons 1-15,1,Adrian,2
1,UK,Seasons 1-15,1,Simon,2
1,UK,Seasons 1-15,1,Andy,1
1,UK,Seasons 1-15,1,James,1
1,UK,Seasons 1-15,1,Pete,1
1,UK,Seasons 1-15,1,Zoe,2
1,UK,Seasons 1-15,1,Eve,2
1,UK,Seasons 1-15,1,Mick,3
1,UK,Seasons 1-15,1,Richard,3
1,UK,Seasons 1-15,1,Jackie,3
1,UK,Seasons 1-15,1,Charlotte,1
1,NZ,Seasons 1-15,1,Hannah,4
1,NZ,Seasons 1-15,1,Dee,5
1,NZ,Seasons 1-15,1,Tony,8
1,NZ,Seasons 1-15,1,Izzy,6
1,NZ,Seasons 1-15,1,Lou,1
1,NZ,Seasons 1-15,1,Georgia,5
1,NZ,Seasons 1-15,1,Shay,8
1,NZ,Seasons 1-15,1,Lee,3
1,NZ,Seasons 1-15,1,Mike,0
1,NZ,Seasons 1-15,1,Sala,5
1,NZ,Seasons 1-15,1,Jak,3
1,NZ,Seasons 1-15,1,Shannon,4
1,NZ,Seasons 1-15,1,Nate,5
1,NZ,Seasons 1-15,1,Barb,1
1,NZ,Seasons 1-15,1,Tom,5
1,NZ,Seasons 1-15,1,Avi,4
1,US,Seasons 1-15,2,B.B.,8
1,US,Seasons 1-15,2,Stacey,2
1,US,Seasons 1-15,2,Ramona,9
1,US,Seasons 1-15,2,Dirk,0
1,US,Seasons 1-15,2,Joel,2
1,US,Seasons 1-15,2,Gretchen,6
1,US,Seasons 1-15,2,Greg,4
1,US,Seasons 1-15,2,Jenna,2
1,US,Seasons 1-15,2,Gervase,6
1,US,Seasons 1-15,2,Colleen,3
1,US,Seasons 1-15,2,Sean,5
1,US,Seasons 1-15,2,Sue,2
1,US,Seasons 1-15,2,Rudy,3
1,US,Seasons 1-15,2,Kelly,1
1,US,Seasons 1-15,2,Richard,4
1,AU,Seasons 1-15,2,Bianca,6
1,AU,Seasons 1-15,2,Evan,4
1,AU,Seasons 1-15,2,Peter,5
1,AU,Seasons 1-15,2,Barry,1
1,AU,Seasons 1-15,2,Tegan,0
1,AU,Seasons 1-15,2,Rohan,0
1,AU,Seasons 1-15,2,Kat,3
1,AU,Seasons 1-15,2,Andrew,0
1,AU,Seasons 1-15,2,Craig,1
1,AU,Seasons 1-15,2,Phoebe,2
1,AU,Seasons 1-15,2,Conner,3
1,AU,Seasons 1-15,2,Kate,3
1,AU,Seasons 1-15,2,Nick,3
1,AU,Seasons 1-15,2,Kylie,5
1,AU,Seasons 1-15,2,Sue,0
1,AU,Seasons 1-15,2,Jennah-Louise,1
1,AU,Seasons 1-15,2,Brooke,0
1,AU,Seasons 1-15,2,Sam,1
1,AU,Seasons 1-15,2,Matt,2
1,AU,Seasons 1-15,2,Flick,4
1,AU,Seasons 1-15,2,El,1
1,AU,Seasons 1-15,2,Lee,2
1,AU,Seasons 1-15,2,Kristie,5
1,SA,Seasons 1-15,2,Sam,5
1,SA,Seasons 1-15,2,Jude,4
1,SA,Seasons 1-15,2,Ncumisa,4
1,SA,Seasons 1-15,2,Sanele,2
1,SA,Seasons 1-15,2,Danielle,3
1,SA,Seasons 1-15,2,Nico,4
1,SA,Seasons 1-15,2,Brigitte,1
1,SA,Seasons 1-15,2,Mzi,5
1,SA,Seasons 1-15,2,Vanessa,2
1,SA,Seasons 1-15,2,Lezel,2
1,SA,Seasons 1-15,2,Gareth,2
1,SA,Seasons 1-15,2,Zayn,0
1,SA,Seasons 1-15,2,Jacinda,3
1,UK,Seasons 1-15,2,JJ,3
1,UK,Seasons 1-15,2,Uzma,2
1,UK,Seasons 1-15,2,Sarah,2
1,UK,Seasons 1-15,2,Jayne,0
1,UK,Seasons 1-15,2,Adrian,3
1,UK,Seasons 1-15,2,Simon,0
1,UK,Seasons 1-15,2,Andy,4
1,UK,Seasons 1-15,2,James,2
1,UK,Seasons 1-15,2,Pete,1
1,UK,Seasons 1-15,2,Zoe,1
1,UK,Seasons 1-15,2,Eve,0
1,UK,Seasons 1-15,2,Mick,1
1,UK,Seasons 1-15,2,Richard,2
1,UK,Seasons 1-15,2,Jackie,1
1,UK,Seasons 1-15,2,Charlotte,4
1,NZ,Seasons 1-15,2,Hannah,1
1,NZ,Seasons 1-15,2,Tony,7
1,NZ,Seasons 1-15,2,Izzy,0
1,NZ,Seasons 1-15,2,Lou,2
1,NZ,Seasons 1-15,2,Georgia,1
1,NZ,Seasons 1-15,2,Shay,3
1,NZ,Seasons 1-15,2,Lee,1
1,NZ,Seasons 1-15,2,Mike,2
1,NZ,Seasons 1-15,2,Sala,7
1,NZ,Seasons 1-15,2,Jak,0
1,NZ,Seasons 1-15,2,Shannon,2
1,NZ,Seasons 1-15,2,Nate,3
1,NZ,Seasons 1-15,2,Barb,0
1,NZ,Seasons 1-15,2,Tom,3
1,NZ,Seasons 1-15,2,Avi,5
1,US,Seasons 1-15,3,Stacey,6
1,US,Seasons 1-15,3,Ramona,0
1,US,Seasons 1-15,3,Dirk,3
1,US,Seasons 1-15,3,Joel,2
1,US,Seasons 1-15,3,Gretchen,3
1,US,Seasons 1-15,3,Greg,4
1,US,Seasons 1-15,3,Jenna,4
1,US,Seasons 1-15,3,Gervase,5
1,US,Seasons 1-15,3,Colleen,5
1,US,Seasons 1-15,3,Sean,3
1,US,Seasons 1-15,3,Sue,5
1,US,Seasons 1-15,3,Rudy,2
