season,version,episode_number_overall,episode,episode_label,episode_date,viewers,imdb_rating,n_ratings
1,US,1,1,Ep 1,2000-05-31,15510000,8,330
1,AU,1,1,Ep 1,2016-08-21,783000,7.9,42
1,SA,1,1,Ep 1,2006-09-03,NA,NA,NA
1,UK,1,1,Ep 1,NA,NA,NA,NA
1,NZ,1,1,Ep 1,2017-05-07,NA,6.7,9
1,US,2,2,Ep 2,2000-06-07,18100000,7.4,238
1,AU,2,2,Ep 2,2016-08-22,734000,7.7,31
1,SA,2,2,Ep 2,2006-09-10,NA,NA,NA
1,UK,2,2,Ep 2,NA,NA,NA,NA
1,NZ,2,2,Ep 2,2017-05-08,NA,6.5,8
1,US,3,3,Ep 3,2000-06-14,23250000,7.5,229
1,AU,3,3,Ep 3,2016-08-28,662000,7.9,30
1,SA,3,3,Ep 3,2006-09-17,NA,NA,NA
1,UK,3,3,Ep 3,NA,NA,NA,NA
1,NZ,3,3,Ep 3,2017-05-14,NA,6.4,7
1,US,4,4,Ep 4,2000-06-21,24200000,7.4,217
1,AU,4,4,Ep 4,2016-08-29,677000,7.6,31
1,SA,4,4,Ep 4,2006-09-24,NA,NA,NA
1,UK,4,4,Ep 4,NA,NA,NA,NA
1,NZ,4,4,Ep 4,2017-05-15,NA,6.4,7
1,US,5,5,Ep 5,2000-06-28,23980000,7.3,215
1,AU,5,5,Ep 5,2016-08-30,728000,8.5,33
1,SA,5,5,Ep 5,2006-10-01,NA,NA,NA
1,UK,5,5,Ep 5,NA,NA,NA,NA
1,NZ,5,5,Ep 5,2017-05-21,NA,6.3,7
1,US,6,6,Ep 6,2000-07-05,24500000,7.4,211
1,AU,6,6,Ep 6,2016-09-04,560000,7.5,29
1,SA,6,6,Ep 6,2006-10-08,NA,NA,NA
1,UK,6,6,Ep 6,NA,NA,NA,NA
1,NZ,6,6,Ep 6,2017-05-22,NA,6.3,7
1,US,7,7,Ep 7,2000-07-12,24500000,7.8,210
1,AU,7,7,Ep 7,2016-09-05,662000,7.7,29
1,SA,7,7,Ep 7,2006-10-15,NA,NA,NA
1,UK,7,7,Ep 7,NA,NA,NA,NA
1,NZ,7,7,Ep 7,2017-05-28,NA,6.5,6
1,US,8,8,Ep 8,2000-07-19,26150000,7.5,208
1,AU,8,8,Ep 8,2016-09-06,717000,7.7,30
1,SA,8,8,Ep 8,2006-10-22,NA,NA,NA
1,UK,8,8,Ep 8,NA,NA,NA,NA
1,NZ,8,8,Ep 8,2017-05-29,NA,6.6,7
1,US,9,9,Ep 9,2000-07-26,27180000,7.5,202
1,AU,9,9,Ep 9,2016-09-11,586000,8.2,29
1,SA,9,9,Ep 9,2006-10-29,NA,NA,NA
1,UK,9,9,Ep 9,NA,NA,NA,NA
1,NZ,9,9,Ep 9,2017-06-04,NA,6.3,7
1,US,10,10,Ep 10,2000-08-02,27410000,7.4,202
1,AU,10,10,Ep 10,2016-09-12,672000,7.4,27
1,SA,10,10,Ep 10,2006-11-05,NA,NA,NA
1,UK,10,10,Ep 10,NA,NA,NA,NA
1,NZ,10,10,Ep 10,2017-06-05,NA,6.1,7
1,US,11,11,Ep 11,2000-08-09,28000000,7.6,202
1,AU,11,11,Ep 11,2016-09-13,690000,7.7,28
1,SA,11,11,Ep 11,2006-11-12,NA,NA,NA
1,UK,11,11,Ep 11,NA,NA,NA,NA
1,NZ,11,11,Ep 11,2017-06-11,NA,6.1,7
1,US,12,12,Ep 12,2000-08-16,28670000,7.6,202
